rok;strana_id;strana;poradove_cislo;jmeno;tituly;vek;navrhovana_str;prislusnost;hlasy;hlasy_procenta;poradi;mandat
2014;5;Společně za Plzeň;18;Kodeda Oldřich Ing. arch.;Ing. arch.;55;STAN;BEZPP;1957;2.22;-;False
2014;5;Společně za Plzeň;26;Kodera Radovan;;54;NK;BEZPP;1858;2.1;-;False
2014;16;Občanská demokratická strana;13;Kohel Libor;;50;ODS;ODS;6862;2.12;3;False
2014;12;Strana Práv Občanů;10;Kohout Martin;;44;SPO;SPO;115;4.87;-;False
2014;15;DSSS-Za Plz. bez hazar. a nepř;24;Kohout Roman;;41;DSSS;BEZPP;307;3.0;-;False
2014;13;Česká str.sociálně demokrat.;46;Kojzar Libor;;38;ČSSD;ČSSD;5775;1.9;36;False
2014;16;Občanská demokratická strana;26;Kokoška Šimon Mgr. et Mgr.;Mgr. et Mgr.;28;ODS;ODS;6792;2.1;16;False
2014;2;Pravá volba pro Plzeň (PVP);40;Kolářová Jana Ing.;Ing.;59;PVP;BEZPP;943;1.86;-;False
2014;14;Občané patrioti;38;Koldovský Oldřich;;57;OPAT;BEZPP;2545;1.88;34;False
2014;9;Plzeň pro sport;10;Kolečková Jana;;36;PPPS;PPPS;695;2.11;-;False
2014;14;Občané patrioti;7;Kollrossová Jana Mgr. et MUDr.;Mgr. et MUDr.;43;OPAT;OPAT;2952;2.19;9;False
2014;10;Komunistická str.Čech a Moravy;32;Kolomazníková Eva;;56;KSČM;KSČM;3295;2.15;26;False
2014;16;Občanská demokratická strana;29;Komár Jiří;;44;ODS;ODS;6737;2.08;19;False
2014;4;Změna pro Plzeň;30;Komůrková Jana;;53;NK;BEZPP;902;1.97;-;False
2014;5;Společně za Plzeň;27;Konečný Jiří Ing.;Ing.;37;Zelení;Zelení;1821;2.06;-;False
2014;4;Změna pro Plzeň;34;König Arlena Ing.;Ing.;47;NK;BEZPP;887;1.93;-;False
2014;6;TOP 09;18;Königová Hana Bc.;Bc.;51;TOP 09;BEZPP;3614;2.16;13;False
2014;13;Česká str.sociálně demokrat.;20;Konop Jakub;;26;ČSSD;ČSSD;6481;2.13;10;False
